description,family_pk,id,iso_code,jsondata,latitude,longitude,macroarea,markup_description,name,pk,representation,vol
,6,lsi52Indo-Aryan-Southern Standard Maithili,mai,{},25.527358,86.573402,Eurasia,,Southern Standard Maithili,15,216,1
,6,lsi52Indo-Aryan-Standard Maithili,mai,{},26.065731,86.149641,Eurasia,,Standard Maithili,33,216,1
,7,lsi32Tibeto-Burman-Sumi Naga,nsm,{},25.6841,93.8668,Eurasia,,Sumi Naga,168,144,1
,7,lsi31Tibeto-Burman-Sunwar,suz,{},27.5201,86.2476,Eurasia,,Sunwar,59,72,1
,6,lsi51Indo-Aryan-Sylheti,syl,{},24.3,91.4,Eurasia,,Sylheti,198,72,1
,8,lsi41Dravidian-Tamil,tam,{},10.52,78.83,Eurasia,,Tamil,195,72,1
,7,lsi32Tibeto-Burman-Tangkhul Naga02,nmf,{},25.0950796,94.3455217,Eurasia,,Tangkhul Naga02,53,72,1
,6,lsi94Indo-Aryan-Tehri,gbm,{},30.38,78.48,Eurasia,,Tehri,71,288,1
,8,lsi41Dravidian-Telugu,tel,{},16.45,78.7,Eurasia,,Telugu,150,72,1
,7,lsi33Tibeto-Burman-Thado Chin,tcz,{},24.096,93.722,Eurasia,,Thado Chin,45,72,1
,6,lsi81Indo-Aryan-Thali-Derawal,skr,{},35.53,72.57,Eurasia,,Thali-Derawal,10,144,1
,7,lsi32Tibeto-Burman-Thangal Naga-01,nki,{},25.098,93.7869,Eurasia,,Thangal Naga-01,158,72,1
,7,lsi31Tibeto-Burman-Thangmi,thf,{},27.3,88.16,Eurasia,,Thangmi,110,72,1
,6,lsi81Indo-Aryan-Tinoli Hindko,hno,{},32.795543,74.284292,Eurasia,,Tinoli Hindko,161,360,1
,7,lsi32Tibeto-Burman-Tippera,tpe,{},23.59,92.07,Eurasia,,Tippera,74,72,1
,7,lsi32Tibeto-Burman-Tiwa (India),lax,{},26.07,92.26,Eurasia,,Tiwa (India),96,72,1
,6,lsi82Indo-Aryan-Torwali,trw,{},35.31,72.53,Eurasia,,Torwali,5,72,1
,6,lsi71Indo-Aryan-Varhadi-Nagpuri-01,vah,{},20.71,79.75,Eurasia,,Varhadi-Nagpuri-01,28,72,1
,1,lsi82Nuristani-Waigali,wbk,{},35.04,70.98,,,Waigali,225,72,1
,7,lsi31Tibeto-Burman-Wambule,wme,{},27.1606,87.5717,Eurasia,,Wambule,89,72,1
,7,lsi31Tibeto-Burman-Wayu,vay,{},27.3047,86.1227,Eurasia,,Wayu,41,72,1
,6,lsi94Indo-Aryan-Western Gujuri,gju,{},34.45146,76.174783,Eurasia,,Western Gujuri,60,216,1
,6,lsi81Indo-Aryan-Western Punjabi-01,pnb,{},30.0948,75.3474,Eurasia,,Western Punjabi-01,196,144,1
,6,lsi81Indo-Aryan-Western Punjabi-Salt Range,pnb,{},30.0368,75.6702,Eurasia,,Western Punjabi-Salt Range,44,144,1
,6,lsi52Indo-Aryan-Western Standard Bhojpuri-Purbi,bho,{},26.778382,83.070878,Eurasia,,Western Standard Bhojpuri-Purbi,211,144,1
,7,lsi31Tibeto-Burman-Yakha,ybh,{},27.3,87.32,Eurasia,,Yakha,68,72,1
,8,lsi41Dravidian-Yerukula,yeu,{},17.37,81.97,Eurasia,,Yerukula,175,72,1
,7,lsi33Tibeto-Burman-Zahao,lus,{},22.497953,93.494982,Eurasia,,Zahao,228,216,1
,7,lsi32Tibeto-Burman-Zeme Naga,nzm,{},25.7317,93.0462,Eurasia,,Zeme Naga,103,72,1
